RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
;;9782226484871;De l'inconvénient d'être Russe- Grand Format;Diana Filippova;;;Albin Michel;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/de-l-inconvenient-d-etre-russe-9782226484871.html;['Livres', 'Littérature', 'Romans'];19,90 €;Ebook13,99 €;https://products-images.di-static.com/image/diana-filippova-de-l-inconvenient-d-etre-russe/9782226484871-475x500-1.webp 1x,https://products-images.di-static.com/image/diana-filippova-de-l-inconvenient-d-etre-russe/9782226484871-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Albin Michel|ISBN|978-2-226-48487-1|EAN|9782226484871|Format|Grand Format|Présentation|Broché|Nb. de pages|208 pages|Poids|0.296 Kg|Dimensions|14,2 cm × 20,5 cm × 2,0 cm;978-2-226-48487-1;Grand Format;Broché;208 pages;0.296 Kg;14,2 cm × 20,5 cm × 2,0 cm;
;;9782246803829;Comédie d'automne  - (La vie poétique, 6 et fin)- Grand Format;Jean Rouaud;;;Grasset;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/comedie-d-automne-9782246803829.html;['Livres', 'Littérature', 'Romans'];20,90 €;Ebook14,99 €;https://products-images.di-static.com/image/jean-rouaud-comedie-d-automne/9782246803829-475x500-1.webp 1x,https://products-images.di-static.com/image/jean-rouaud-comedie-d-automne/9782246803829-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Grasset|ISBN|978-2-246-80382-9|EAN|9782246803829|Format|Grand Format|Présentation|Broché|Nb. de pages|288 pages|Poids|0.308 Kg|Dimensions|14,1 cm × 20,6 cm × 1,8 cm;978-2-246-80382-9;Grand Format;Broché;288 pages;0.308 Kg;14,1 cm × 20,6 cm × 1,8 cm;
;;9782378128708;Shades  - Tome 1, De sang et de chair- Grand Format;Angéline Richard;;;Alter Real éditions;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/shades-9782378128708.html;['Livres', 'Littérature', 'Romans'];23,00 €;Ebook5,99 €;https://products-images.di-static.com/image/hachette-shades/9782378128708-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-shades/9782378128708-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Alter Real éditions|Collection|Imaginaire|ISBN|978-2-37812-870-8|EAN|9782378128708|Format|Grand Format|Présentation|Broché|Nb. de pages|368 pages|Poids|0.52 Kg|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;978-2-37812-870-8;Grand Format;Broché;368 pages;0.52 Kg;14,8 cm × 21,0 cm × 0,0 cm;Imaginaire
;;9782378129088;Saraya Tome 5- Grand Format;Marylise;;;Alter Real éditions;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/saraya-tome-5-apparences-trompeuses-9782378129088.html;['Livres', 'Littérature', 'Romans'];20,00 €;Ebook5,99 €;https://products-images.di-static.com/image/hachette-saraya-tome-5-apparences-trompeuses/9782378129088-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-saraya-tome-5-apparences-trompeuses/9782378129088-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Alter Real éditions|Collection|Imaginaire|ISBN|978-2-37812-908-8|EAN|9782378129088|Format|Grand Format|Présentation|Broché|Nb. de pages|188 pages|Poids|0.438 Kg|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;978-2-37812-908-8;Grand Format;Broché;188 pages;0.438 Kg;14,8 cm × 21,0 cm × 0,0 cm;Imaginaire
RL;NON;9782080411693;Marchands de sable- Grand Format;Agnès Mathieu-Daudé;Romans français;F;Flammarion;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/marchands-de-sable-9782080411693.html;['Livres', 'Littérature', 'Romans'];21,00 €;Ebook14,99 €;https://products-images.di-static.com/image/agnes-mathieu-daude-marchands-de-sable/9782080411693-45x70-1.webp 1x,https://products-images.di-static.com/image/agnes-mathieu-daude-marchands-de-sable/9782080411693-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Flammarion|Collection|Littérature française|ISBN|978-2-08-041169-3|EAN|9782080411693|Format|Grand Format|Présentation|Broché|Nb. de pages|336 pages|Poids|0.342 Kg|Dimensions|15,0 cm × 22,0 cm × 2,1 cm;978-2-08-041169-3;Grand Format;Broché;336 pages;0.342 Kg;15,0 cm × 22,0 cm × 2,1 cm;Littérature française
RL;PREMIER ROMAN;9782382846056;Au sol- Grand Format;Charlotte Milandri;Romans français;F;Equateurs;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/au-sol-9782382846056.html;['Livres', 'Littérature', 'Romans'];20,00 €;Ebook14,99 €;https://products-images.di-static.com/image/charlotte-milandri-au-sol/9782382846056-45x70-1.webp 1x,https://products-images.di-static.com/image/charlotte-milandri-au-sol/9782382846056-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Equateurs|ISBN|978-2-38284-605-6|EAN|9782382846056|Format|Grand Format|Présentation|Broché|Nb. de pages|248 pages|Poids|0.32 Kg|Dimensions|14,0 cm × 20,3 cm × 2,0 cm;978-2-38284-605-6;Grand Format;Broché;248 pages;0.32 Kg;14,0 cm × 20,3 cm × 2,0 cm;
;;9782226468543;La saison des débutantes Tome 3- Grand Format;M-C Beaton;;;Albin Michel;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-saison-des-debutantes-tome-3-delilah-la-romantique-9782226468543.html;['Livres', 'Littérature', 'Romans'];14,90 €;Ebook9,99 €;https://products-images.di-static.com/image/m-c-beaton-la-saison-des-debutantes-tome-3-delilah-la-romantique/9782226468543-475x500-1.webp 1x,https://products-images.di-static.com/image/m-c-beaton-la-saison-des-debutantes-tome-3-delilah-la-romantique/9782226468543-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Albin Michel|ISBN|978-2-226-46854-3|EAN|9782226468543|Format|Grand Format|Présentation|Broché|Nb. de pages|224 pages|Poids|0.21 Kg|Dimensions|12,6 cm × 18,4 cm × 1,7 cm;978-2-226-46854-3;Grand Format;Broché;224 pages;0.21 Kg;12,6 cm × 18,4 cm × 1,7 cm;
;;9782226468550;La saison des débutantes Tome 4- Grand Format;M-C Beaton;;;Albin Michel;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-saison-des-debutantes-tome-4-clarissa-l-etourdie-9782226468550.html;['Livres', 'Littérature', 'Romans'];14,90 €;Ebook9,99 €;https://products-images.di-static.com/image/m-c-beaton-la-saison-des-debutantes-tome-4-clarissa-l-etourdie/9782226468550-475x500-1.webp 1x,https://products-images.di-static.com/image/m-c-beaton-la-saison-des-debutantes-tome-4-clarissa-l-etourdie/9782226468550-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Albin Michel|ISBN|978-2-226-46855-0|EAN|9782226468550|Format|Grand Format|Présentation|Broché|Nb. de pages|226 pages|Poids|0.205 Kg|Dimensions|12,6 cm × 18,4 cm × 1,6 cm;978-2-226-46855-0;Grand Format;Broché;226 pages;0.205 Kg;12,6 cm × 18,4 cm × 1,6 cm;
;;9782226481900;Le bûcher des illusions- Grand Format;Frédéric Brunnquell;;;Albin Michel;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-bucher-des-illusions-9782226481900.html;['Livres', 'Littérature', 'Romans'];19,90 €;Ebook13,99 €;https://products-images.di-static.com/image/frederic-brunnquell-le-bucher-des-illusions/9782226481900-475x500-1.webp 1x,https://products-images.di-static.com/image/frederic-brunnquell-le-bucher-des-illusions/9782226481900-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Albin Michel|ISBN|978-2-226-48190-0|EAN|9782226481900|Format|Grand Format|Présentation|Broché|Nb. de pages|196 pages|Poids|0.292 Kg|Dimensions|14,2 cm × 20,5 cm × 2,0 cm;978-2-226-48190-0;Grand Format;Broché;196 pages;0.292 Kg;14,2 cm × 20,5 cm × 2,0 cm;
RL;NON;9782226483935;A Dieu vat- Grand Format;Jean-Michel Guenassia;Romans français;M;Albin Michel;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/a-dieu-vat-9782226483935.html;['Livres', 'Littérature', 'Romans'];22,90 €;Ebook15,99 €;https://products-images.di-static.com/image/jean-michel-guenassia-a-dieu-vat/9782226483935-45x70-1.webp 1x,https://products-images.di-static.com/image/jean-michel-guenassia-a-dieu-vat/9782226483935-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Albin Michel|ISBN|978-2-226-48393-5|EAN|9782226483935|Format|Grand Format|Présentation|Broché|Nb. de pages|496 pages|Poids|0.616 Kg|Dimensions|15,0 cm × 22,2 cm × 3,5 cm;978-2-226-48393-5;Grand Format;Broché;496 pages;0.616 Kg;15,0 cm × 22,2 cm × 3,5 cm;
RL;NON;9782080283689;L'ombre d'un grand oiseau- Grand Format;Catherine Poulain;Romans français;F;Arthaud;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/l-ombre-d-un-grand-oiseau-9782080283689.html;['Livres', 'Littérature', 'Romans'];18,00 €;Ebook12,99 €;https://products-images.di-static.com/image/catherine-poulain-l-ombre-d-un-grand-oiseau/9782080283689-45x70-1.webp 1x,https://products-images.di-static.com/image/catherine-poulain-l-ombre-d-un-grand-oiseau/9782080283689-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Arthaud|ISBN|978-2-08-028368-9|EAN|9782080283689|Format|Grand Format|Présentation|Broché|Nb. de pages|174 pages|Poids|0.242 Kg|Dimensions|13,8 cm × 21,0 cm × 1,7 cm;978-2-08-028368-9;Grand Format;Broché;174 pages;0.242 Kg;13,8 cm × 21,0 cm × 1,7 cm;
RL;NON;9782080429148;Que ferais-je à ma place ?- Grand Format;Charly Delwart;Romans français;M;Flammarion;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/que-ferais-je-a-ma-place-9782080429148.html;['Livres', 'Littérature', 'Romans'];20,00 €;Ebook14,99 €;https://products-images.di-static.com/image/charly-delwart-que-ferais-je-a-ma-place/9782080429148-45x70-1.webp 1x,https://products-images.di-static.com/image/charly-delwart-que-ferais-je-a-ma-place/9782080429148-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Flammarion|Collection|Littérature française|ISBN|978-2-08-042914-8|EAN|9782080429148|Format|Grand Format|Présentation|Broché|Nb. de pages|240 pages|Poids|0.26 Kg|Dimensions|13,9 cm × 20,9 cm × 1,7 cm;978-2-08-042914-8;Grand Format;Broché;240 pages;0.26 Kg;13,9 cm × 20,9 cm × 1,7 cm;Littérature française
